fips,year,num_M,num_F
48439,2004,1,0
06073,2006,0,1
17031,2000,1,0
17031,1990,1,0
FL-13 JUDICIAL CIRCUIT,2020,0,0
39035,2016,1,0
48201,2018,1,0
17031,1998,1,0
39035,1996,1,0
12057,2004,1,0
36029,2004,1,0
26125,2008,1,0
26163,2010,1,0
37183,2020,0,1
25017,2014,0,1
26125,2012,1,0
37183,2016,1,0
1714000,2003,1,0
25017,1990,1,0
26125,2004,1,0
12086,2004,1,0
1714000,1995,1,0
12057,2020,0,1
36029,2012,1,0
37119,2020,0,1
37119,2020,0,1
37183,2020,0,1
17031,2010,1,0
CO-18,2016,0,0
FL-7 JUDICIAL CIRCUIT,2020,0,0
06037,2016,0,1
39035,1992,0,1
12011,1996,0,1
39035,2008,1,0
26125,2012,1,0
26125,2000,1,0
17043,2020,1,0
39035,2000,1,0
06037,2016,0,1
48439,2012,1,0
48453,2018,0,1
25017,2010,1,0
0455000,2020,0,1
12011,2008,1,0
GA-Atlanta,2016,0,0
04013,2004,1,0
36047,2009,1,0
04019,2020,0,1
0666000,2020,1,0
29189,2006,1,0
39049,2008,1,0
12103,2016,1,0
26125,2004,1,0
39049,2004,1,0
12103,2020,1,0
12095,2016,1,0
26163,2014,1,0
48113,1992,1,0
26125,2020,1,0
13121,2016,1,0
26125,2016,1,0
12011,2012,1,0
37119,2020,0,1
12099,2008,1,0
FL-200,2008,0,0
48113,2004,0,1
53033,1998,1,0
55079,2020,1,0
06059,2010,1,0
48201,2002,1,0
48439,2008,1,0
FL-17 JUDICIAL CIRCUIT,2020,0,0
06073,2018,1,0
24031,2018,1,0
12011,2008,1,0
1714000,2015,1,0
25017,1998,1,0
26125,2008,0,1
39049,2016,1,0
0644000,2017,1,0
48201,1996,1,0
25017,1992,1,0
1200870,2020,0,1
4260000,2006,1,0
39049,2012,1,0
39049,2012,0,1
39049,2020,0,0
1714000,2011,1,0
53033,1997,1,0
53033,2009,1,0
53033,2012,1,0
12099,2012,1,0
13089,2020,1,0
1714000,2007,1,0
12057,2020,0,1
12086,2000,0,1
13089,2020,0,1
06065,2018,1,0
48439,2018,1,0
48439,2018,1,0
48113,2008,1,0
06073,2014,1,0
FL-13 JUDICIAL CIRCUIT,2020,0,0
26125,2020,1,0
26125,2000,0,1
39035,2006,1,0
39049,2008,1,0
48113,2004,1,0
48113,2020,1,0
1200180,2004,0,1
17043,2004,1,0
17043,2016,1,0
06037,1992,1,0
39035,2018,1,0
29189,2018,1,0
17043,2008,1,0
17043,2012,1,0
3651000,2017,0,1
06073,1990,1,0
26125,2016,0,1
26099,2008,1,0
0644000,1993,1,0
48029,2018,1,0
12057,2016,0,1
53033,1997,1,0
39049,2016,1,0
53033,2021,1,0
3651000,2021,1,0
17031,1994,1,0
26125,2012,0,1
55079,2016,1,0
26125,2020,1,0
12011,1996,1,0
25017,1996,1,0
53033,2001,1,0
55079,2018,1,0
39049,2008,0,1
06037,2008,1,0
06037,2014,1,0
06037,1996,1,0
1200180,2012,0,1
12103,2004,1,0
