"","fips","state","geo_name","population_2020","mass_ideology_2020","mass_ideology_2020_se","pres_pctD_20","pres_pctD_16","pres_pctD_08","percent_women","percent_white","percent_black","percent_hispanic","percent_asian_american","geo_type"
"891",48427,"Texas","Starr County",65920,-0.0448177409637105,0.0929770042168695,0.525535704027116,0.806827065056892,0.847225066557444,0.513358719061144,0.0177639563106796,0.00100121359223301,0.976835558252427,0.00169902912621359,"County"
"892",48439,"Texas","Tarrant County",2110640,0.038511244600261,0.0370875443139536,0.501111641430499,0.454652513822041,0.441007540510188,0.510818774789367,0.428724936512148,0.173751563506804,0.294179490581056,0.0634821665466399,"County"
"893",48441,"Texas","Taylor County",143208,0.200294178799411,0.0579265079730438,0.269474461993165,0.2327218183916,0.269959793222286,0.512259808577482,0.60971454108709,0.0821951287637562,0.24269593877437,0.0217376124238869,"County"
"894",48451,"Texas","Tom Green County",120003,0.229407856624207,0.0594841612223012,0.274712695277429,0.250170452995882,0.289667705088266,0.502424016408726,0.51990366907494,0.0378657200236661,0.392206861495129,0.0164662550102914,"County"
"895",48453,"Texas","Travis County",1290188,-0.217868596536518,0.0380769873764287,0.729842916156645,0.707880469103426,0.649663169632581,0.494924621272329,0.474988141263134,0.0784901115186314,0.326394292924752,0.0791024253829674,"County"
"896",48467,"Texas","Van Zandt County",59541,0.434801917533774,0.0626958648042635,0.136353059799891,0.131581421587063,0.22259004891546,0.508665589895287,0.805932046824877,0.0258981206227641,0.118758502544465,0.00512252061604609,"County"
"897",48469,"Texas","Victoria County",91319,0.214298257219672,0.0663454287160194,0.307664947536902,0.294150824458379,0.330932346011444,0.510634139986321,0.430688027683177,0.0627361228221947,0.470121223403673,0.0161412192424359,"County"
"898",48471,"Texas","Walker County",76400,0.343298227735479,0.0791924384962702,0.338965561718045,0.321001317523057,0.386924862811313,0.416255306204284,0.521243455497382,0.217774869109948,0.216989528795812,0.0155759162303665,"County"
"899",48473,"Texas","Waller County",56794,0.0474341332189216,0.0648357826949373,0.364838982673378,0.353092941826894,0.463938253988844,0.501389103256675,0.413670458146987,0.215797443391908,0.325492129450294,0.0145966123182026,"County"
"900",48479,"Texas","Webb County",267114,-0.0730461094603708,0.0579411406100348,0.617630561213946,0.765682122561263,0.718301088660325,0.510291526216886,0.0355466205440374,0.00436517741488653,0.952230133950298,0.00545834362856309,"County"
"901",48485,"Texas","Wichita County",129350,0.135470340884038,0.0526344078949667,0.290979438425824,0.240927447048158,0.304205771423559,0.48031095170066,0.61611132586007,0.1073598763046,0.199482025512176,0.0226362582141477,"County"
"902",48491,"Texas","Williamson County",609017,0.0133405852540851,0.0423786515642077,0.507170468813928,0.4477664159285,0.433877728921763,0.507766561237683,0.552381953213129,0.0668815484625224,0.241517067668062,0.0909055083848234,"County"
"903",48497,"Texas","Wise County",68632,0.405583049060627,0.0598141539788288,0.155381971566943,0.141682584502948,0.218694971629818,0.496062754563283,0.735735516960019,0.010490733185686,0.199527917006644,0.00575533278936939,"County"
"904",49003,"Utah","Box Elder County",57666,0.338702029966982,0.0715667244641441,0.171899619538065,0.157249173098126,0.175948613684928,0.489304118933749,0.855980993999931,0.00308674088717789,0.0960184510803593,0.0096764124440745,"County"
"905",49005,"Utah","Cache County",133154,0.11447753077951,0.0573074293568484,0.304487765626714,0.288297084371423,0.263838464737102,0.499198646961704,0.821424816378028,0.00837376271084609,0.113222283971942,0.0229658891208676,"County"
"906",49011,"Utah","Davis County",362679,0.162738623980721,0.0480305860844008,0.355384843945378,0.316237155887686,0.282622616745482,0.49567772517331,0.806382503536185,0.0120657661458204,0.10834649924589,0.0289181342178621,"County"
"907",49021,"Utah","Iron County",57289,0.285564254381494,0.0741065356877684,0.204849043172396,0.174862607950896,0.206516227180527,0.504559389217581,0.831224144251078,0.00712178603222259,0.09569027212903,0.0154479917610711,"County"
"908",49035,"Utah","Salt Lake County",1185238,-0.0593311599433087,0.038515082395531,0.557425780649131,0.560240963855422,0.500316429219743,0.498032895630558,0.675741074788355,0.0198053049260992,0.195815523970713,0.061398638923153,"County"
"909",49045,"Utah","Tooele County",72698,0.33139273399922,0.0718456066101583,0.298527889975632,0.290496760259179,0.346446432455155,0.495808418772349,0.800558474786101,0.00639632452061955,0.130980219538364,0.0161902665822994,"County"
"910",49049,"Utah","Utah County",659399,0.183490704239804,0.0441191003644238,0.282813517082334,0.218218264169421,0.194787570005421,0.494700160200829,0.786261428967894,0.00667729250423492,0.134260136882222,0.0259857840245436,"County"
"911",49053,"Utah","Washington County",180279,0.304844374353489,0.0540503501287139,0.233762980506467,0.194340549321848,0.226327789655231,0.505780678000856,0.817965486828749,0.00548039427775836,0.113612789065837,0.0196084957205221,"County"
"912",49057,"Utah","Weber County",262223,0.0100850502298747,0.0498273717541715,0.381596714301789,0.36503803301455,0.358709177810757,0.497594414269696,0.739405010239376,0.0137783489625243,0.18587995713572,0.0186215549360659,"County"
"913",50007,"Vermont","Chittenden County",168323,-0.410445939905332,0.0515181126991573,0.781022734376628,0.7466321596404,0.728301241325384,0.509290114727691,0.848844186474813,0.0291701074719438,0.028225495030388,0.043345235054033,"County"
"914",50021,"Vermont","Rutland County",60572,-0.179598184650565,0.0574011113211922,0.554069661418759,0.522133721375507,0.625585830181971,0.50871086055831,0.909529155385327,0.00853529683682229,0.0202238658125867,0.00782539787360497,"County"
"915",50023,"Vermont","Washington County",59807,-0.326647115392105,0.0654388160826175,0.738327618042733,0.699364350998608,0.709757415826789,0.505655526992288,0.897955088869196,0.0108850134599629,0.026234387279081,0.0110187770662297,"County"
"916",50027,"Vermont","Windsor County",57753,-0.298196143598432,0.0577245792747131,0.700992593036855,0.671075264707007,0.702437106918239,0.509778380823157,0.90968434540197,0.0080688449084896,0.0212975949301335,0.00978304157359791,"County"
"917",51003,"Virginia","Albemarle County",112395,-0.123547335387841,0.0526742911042633,0.664057786691451,0.623794855382646,0.573701783050366,0.521782039942275,0.71475599448374,0.0885537612883135,0.0752079718848703,0.0735975799635215,"County"
"918",51013,"Virginia","Arlington County",238643,-0.370959161280747,0.0524834708390988,0.82517898826589,0.820092333469992,0.692501634139509,0.499772984271665,0.585196297398206,0.0874737578726382,0.156560217563473,0.115586880821981,"County"
