fips,FemaleCount,MaleCount,TotalCount,Years,ChiSquareStatistic,P-Value,Representation,FemaleRepresentation,FemaleRepresentationScore
36027,0,7,7,"[1991, 1999, 2003, 2007, 2011, 2015, 2019]",7.0,0.008150971593502705,Low Gender Representation,0.0,0
36029,0,8,8,"[1991, 1995, 1999, 2003, 2007, 2011, 2015, 2019]",8.0,0.004677734981047276,Low Gender Representation,0.0,0
36055,4,5,9,"[1991, 1995, 1999, 2003, 2007, 2007, 2011, 2015, 2019]",0.1111111111111111,0.7388826803635273,Low Gender Representation not Detected,0.4444444444444444,4
36059,1,8,9,"[1989, 1993, 1997, 2001, 2005, 2009, 2013, 2017, 2021]",5.444444444444445,0.019630657257290702,Low Gender Representation,0.1111111111111111,1
36065,0,6,6,"[1999, 2003, 2007, 2011, 2015, 2019]",6.0,0.014305878435429641,Low Gender Representation,0.0,0
36067,3,4,7,"[1991, 2003, 2007, 2011, 2015, 2018, 2019]",0.14285714285714285,0.7054569861112734,Low Gender Representation not Detected,0.42857142857142855,4
36071,1,6,7,"[1989, 2001, 2005, 2009, 2013, 2017, 2021]",3.5714285714285716,0.05878172135535891,Low Gender Representation not Detected,0.14285714285714285,1
36079,3,6,9,"[1990, 1994, 1998, 2002, 2006, 2010, 2011, 2014, 2018]",1.0,0.31731050786291115,Low Gender Representation not Detected,0.3333333333333333,3
36083,4,5,9,"[1989, 1993, 1997, 2001, 2005, 2009, 2013, 2017, 2021]",0.1111111111111111,0.7388826803635273,Low Gender Representation not Detected,0.4444444444444444,4
36087,0,8,8,"[1993, 1997, 2001, 2005, 2009, 2013, 2017, 2021]",8.0,0.004677734981047276,Low Gender Representation,0.0,0
36103,0,8,8,"[1991, 1999, 2003, 2007, 2010, 2011, 2015, 2019]",8.0,0.004677734981047276,Low Gender Representation,0.0,0
36111,1,3,4,"[2008, 2011, 2015, 2019]",1.0,0.31731050786291115,Low Gender Representation not Detected,0.25,2
36119,0,9,9,"[1989, 1993, 1997, 2001, 2005, 2009, 2013, 2017, 2021]",9.0,0.0026997960632601883,Low Gender Representation,0.0,0
39035,0,3,3,"[2010, 2014, 2018]",3.0,0.08326451666355042,Low Gender Representation not Detected,0.0,0
39153,1,6,7,"[1992, 1996, 2000, 2004, 2008, 2012, 2016]",3.5714285714285716,0.05878172135535891,Low Gender Representation not Detected,0.14285714285714285,1
42003,0,6,6,"[1999, 2003, 2007, 2011, 2015, 2019]",6.0,0.014305878435429641,Low Gender Representation,0.0,0
42049,4,3,7,"[1989, 1993, 1997, 2001, 2005, 2009, 2013]",0.14285714285714285,0.7054569861112734,Low Gender Representation not Detected,0.5714285714285714,6
42077,3,6,9,"[1989, 1993, 1997, 2001, 2005, 2009, 2013, 2017, 2021]",1.0,0.31731050786291115,Low Gender Representation not Detected,0.3333333333333333,3
42095,0,7,7,"[1989, 1993, 1997, 2001, 2005, 2009, 2013]",7.0,0.008150971593502705,Low Gender Representation,0.0,0
47009,1,4,5,"[1998, 2002, 2006, 2010, 2014]",1.8,0.17971249487899593,Low Gender Representation not Detected,0.2,2
47065,0,10,10,"[1990, 1994, 1998, 2002, 2006, 2010, 2011, 2012, 2014, 2018]",10.0,0.001565402258002549,Low Gender Representation,0.0,0
47125,1,3,4,"[1994, 2002, 2010, 2014]",1.0,0.31731050786291115,Low Gender Representation not Detected,0.25,2
47157,0,9,9,"[1990, 1994, 1998, 2002, 2006, 2009, 2010, 2014, 2018]",9.0,0.0026997960632601883,Low Gender Representation,0.0,0
48061,0,4,4,"[2010, 2014, 2016, 2018]",4.0,0.04550026389635857,Low Gender Representation,0.0,0
48085,0,3,3,"[2010, 2014, 2018]",3.0,0.08326451666355042,Low Gender Representation not Detected,0.0,0
48121,2,1,3,"[2010, 2014, 2018]",0.3333333333333333,0.5637028616507731,Low Gender Representation not Detected,0.6666666666666666,7
48141,4,2,6,"[1998, 2002, 2006, 2010, 2014, 2018]",0.6666666666666666,0.4142161782425251,Low Gender Representation not Detected,0.6666666666666666,7
48157,0,2,2,"[2010, 2014, 2018]",2.0,0.15729920705028105,Low Gender Representation not Detected,0.0,0
48427,1,4,5,"[1998, 2002, 2006, 2010, 2014]",1.8,0.17971249487899593,Low Gender Representation not Detected,0.2,2
48439,0,6,6,"[1998, 2002, 2006, 2010, 2014, 2018]",6.0,0.014305878435429641,Low Gender Representation,0.0,0
49035,3,4,7,"[2000, 2004, 2008, 2012, 2016, 2019, 2020]",0.14285714285714285,0.7054569861112734,Low Gender Representation not Detected,0.42857142857142855,4
53033,0,10,10,"[1989, 1993, 1996, 1997, 2001, 2005, 2009, 2013, 2017, 2021]",10.0,0.001565402258002549,Low Gender Representation,0.0,0
53053,2,6,8,"[1992, 1996, 2000, 2004, 2008, 2012, 2016, 2020]",2.0,0.15729920705028105,Low Gender Representation not Detected,0.25,2
53061,0,9,9,"[1991, 1995, 1999, 2003, 2007, 2011, 2013, 2015, 2019]",9.0,0.0026997960632601883,Low Gender Representation,0.0,0
53073,2,7,9,"[1991, 1995, 1999, 2003, 2007, 2011, 2015, 2015, 2019]",2.7777777777777777,0.09558070454562936,Low Gender Representation not Detected,0.2222222222222222,2
55025,3,5,8,"[2001, 2005, 2009, 2010, 2011, 2013, 2017, 2021]",0.5,0.47950012218695337,Low Gender Representation not Detected,0.375,4
55079,0,11,11,"[1992, 2000, 2002, 2004, 2008, 2010, 2011, 2012, 2016, 2020, 2020]",11.0,0.0009111188771537126,Low Gender Representation,0.0,0
55087,0,4,4,"[2007, 2011, 2015, 2019]",4.0,0.04550026389635857,Low Gender Representation,0.0,0
55133,0,7,7,"[1991, 1999, 2003, 2007, 2011, 2015, 2019]",7.0,0.008150971593502705,Low Gender Representation,0.0,0
